name,length
Acraea penelope,4.17
Antanartia hippomene,4.17
Atlides rustan,4.17
Colias croceus,4.17
Anartia jatrophae,4.15
Arethusana arethusa,4.15
Catasticta pieris,4.14
Chazara briseis,4.14
Adelpha justina,4.13
Belenois creona,4.13
Bibasis aquilina,4.13
Caenides dacela,4.13
Colias electo,4.13
Colias alfacariensis,4.12
Colias ladakensis,4.12
Colotis zoe,4.1
Cyrestis achates,4.1
Cyrestis thyodamas,4.1
Arhopala eridanus,4.09
Colias interior,4.09
Acraea sotikensis,4.08
Aglais milberti,4.08
Clossiana euphrosyne,4.08
Callicore pygas,4.07
Cyrestis telamon,4.07
Callicore lyca,4.06
Cyrestis lutea,4.06
Algia fasciata,4.05
Cosmosatyrus leptoneuroides,4.05
Adelpha alala,4.04
Artopoetes pryeri,4.04
Colias montium,4.04
Adelpha syma,4.02
Colias erate,4.02
Colotis antevippe,4.02
Colotis euippe,4.02
Acraea circeis,4.01
Clossiana erubescens,4.01
Ariadne pagenstecheri,4
Colias arida,4
Acraea humilis,3.99
Atlides polybe,3.99
Callicore tolima,3.99
Colias staudingeri,3.99
Colotis halimede,3.99
Cercyonis sthenele,3.98
Cyrestis maenalis,3.97
Acraea cabira,3.96
Colias flaveola,3.96
Colotis evenina,3.96
Araschnia prorsoides,3.95
Cepora nerissa,3.93
Cyrestis paulinus,3.93
Acraea conradti,3.92
Aeria eurimedia,3.92
Apaturopsis cleochares,3.92
Callerebia suroia,3.92
Chlosyne palla,3.91
Colotis auxo,3.91
Arhopala centaurus,3.9
Aphantopus hyperantus,3.89
Callicore hesperis,3.89
Arhopala chamaeleona,3.88
Arcas tuneta,3.87
Colotis danae,3.87
Amblypodia anita,3.85
Colias phicomone,3.85
Cyrestis themire,3.85
Bicyclus sciathis,3.84
Boloria bellona,3.83
Colias cocandica,3.83
Ancyluris formosissima,3.82
Aporia leucodice,3.82
Celaenorrhinus galenus,3.81
Chlosyne leanira,3.81
Acraea bonasia,3.8
Adelpha mythra,3.79
Arhopala eumolphus,3.79
Clossiana titania,3.79
Colias dimera,3.79
Curetis tagalica,3.78
Colotis phisadia,3.77
Arhopala admete,3.75
Arhopala thamyras,3.75
Colias thisoa,3.75
Bibasis gomata,3.74
Bolboneura sylphis,3.74
Coenonympha nolckeni,3.74
Adelpha cytherea,3.72
Clossiana angarensis,3.72
Ancyluris mira,3.71
Curetis bulis,3.71
Atlides carpasia,3.7
Boloria epithore,3.7
Coenonympha oedippus,3.7
Colias chrysotheme,3.7
Colotis celimene,3.7
Abisara geza,3.69
Bicyclus evadne,3.69
Anthocharis lanceolata,3.68
Brenthis ino,3.68
Acraea quirinalis,3.67
Colotis aurigineus,3.67
Arhopala anarte,3.66
Cyrestis nivea,3.66
Colotis evanthe,3.65
Colotis protractus,3.65
Anteros kupris,3.64
Abisara echerius,3.62
Colias stoliczkana,3.62
Callicore hydaspes,3.61
Calydna thersander,3.61
Chlosyne nycteis,3.61
Cybdelis mnasylus,3.61
Callicore brome,3.58
