cluster,file,path
10,Aterica rabena IMG_096933.png,images\Tan_batch_2_to_Cyrestis_tancrop\Aterica rabena\Aterica rabena IMG_096933.png
10,Athyma abiasa IMG_100949.png,images\Tan_batch_2_to_Cyrestis_tancrop\Athyma abiasa\Athyma abiasa IMG_100949.png
10,Athyma kanwa IMG_089022.png,images\Tan_batch_2_to_Cyrestis_tancrop\Athyma kanwa\Athyma kanwa IMG_089022.png
10,Athyma larymna IMG_117155.png,images\Tan_batch_2_to_Cyrestis_tancrop\Athyma larymna\Athyma larymna IMG_117155.png
10,Athyma pravara IMG_117024.png,images\Tan_batch_2_to_Cyrestis_tancrop\Athyma pravara\Athyma pravara IMG_117024.png
10,Athyma punctata IMG_088984.png,images\Tan_batch_2_to_Cyrestis_tancrop\Athyma punctata\Athyma punctata IMG_088984.png
10,Athyma ranga IMG_089031.png,images\Tan_batch_2_to_Cyrestis_tancrop\Athyma ranga\Athyma ranga IMG_089031.png
10,Baronia brevicornis IMG_137186.png,images\Tan_batch_2_to_Cyrestis_tancrop\Baronia brevicornis\Baronia brevicornis IMG_137186.png
10,Catasticta sisamnus IMG_085182.png,images\Tan_batch_2_to_Cyrestis_tancrop\Catasticta sisamnus\Catasticta sisamnus IMG_085182.png
10,Chazara heydenreichi IMG_050883.png,images\Tan_batch_2_to_Cyrestis_tancrop\Chazara heydenreichi\Chazara heydenreichi IMG_050883.png
10,Chazara persephone IMG_050901.png,images\Tan_batch_2_to_Cyrestis_tancrop\Chazara persephone\Chazara persephone IMG_050901.png
10,Chazara prieuri IMG_050894.png,images\Tan_batch_2_to_Cyrestis_tancrop\Chazara prieuri\Chazara prieuri IMG_050894.png
10,Cybdelis mnasylus IMG_097738.png,images\Tan_batch_2_to_Cyrestis_tancrop\Cybdelis mnasylus\Cybdelis mnasylus IMG_097738.png
